;Data;Valor
0;201101;...
1;201102;-5.4
2;201103;2.0
3;201104;-1.4
4;201105;0.5
5;201106;-0.5
6;201107;2.1
7;201108;0.3
8;201109;0.3
9;201110;-0.3
10;201111;2.4
11;201112;0.8
12;201201;1.4
13;201202;-0.8
14;201203;5.8
15;201204;-5.8
16;201205;0.2
17;201206;2.3
18;201207;1.5
19;201208;1.0
20;201209;0.9
21;201210;0.3
22;201211;-2.1
23;201212;6.2
24;201301;-5.1
25;201302;4.9
26;201303;-2.1
27;201304;4.7
28;201305;-1.3
29;201306;1.1
30;201307;3.9
31;201308;-5.2
32;201309;-1.3
33;201310;1.7
34;201311;-0.8
35;201312;0.5
36;201401;-1.8
37;201402;6.6
38;201403;-2.3
39;201404;-0.9
40;201405;1.9
41;201406;-1.4
42;201407;-1.1
43;201408;0.9
44;201409;1.5
45;201410;4.4
46;201411;-2.6
47;201412;2.2
48;201501;-8.6
49;201502;3.1
50;201503;-2.2
51;201504;1.1
52;201505;-0.9
53;201506;0.1
54;201507;-1.3
55;201508;1.5
56;201509;-0.4
57;201510;-0.7
58;201511;1.9
59;201512;0.4
60;201601;-3.1
61;201602;0.8
62;201603;1.3
63;201604;-0.2
64;201605;-0.1
65;201606;-1.3
66;201607;-2.1
67;201608;0.2
68;201609;-0.5
69;201610;-1.4
70;201611;-2.5
71;201612;11.5
72;201701;-2.1
73;201702;-2.6
74;201703;-3.2
75;201704;-2.5
76;201705;-0.1
77;201706;-2.0
78;201707;0.5
79;201708;-2.3
80;201709;0.4
81;201710;-6.8
82;201711;0.7
83;201712;2.3
84;201801;7.2
85;201802;-5.8
86;201803;1.1
87;201804;-0.8
88;201805;-5.9
89;201806;2.7
90;201807;0.3
91;201808;0.3
92;201809;-2.8
93;201810;-0.8
94;201811;0.1
95;201812;-0.7
96;201901;4.3
97;201902;-2.4
98;201903;2.7
99;201904;0.2
100;201905;1.3
101;201906;0.3
102;201907;0.4
103;201908;-2.9
104;201909;0.0
105;201910;1.1
106;201911;0.2
107;201912;-2.6
108;202001;2.5
109;202002;-0.9
110;202003;-5.5
111;202004;-20.2
112;202005;0.3
113;202006;4.7
114;202007;-4.1
115;202008;8.9
116;202009;4.3
117;202010;2.8
118;202011;1.3
119;202012;0.9
120;202101;0.7
121;202102;2.2
122;202103;-2.1
123;202104;-0.2
124;202105;2.8
125;202106;2.0
126;202107;3.3
127;202108;3.1
128;202109;-1.0
129;202110;7.8
130;202111;-1.0
131;202112;-3.3
132;202201;0.7
133;202202;-0.9
134;202203;3.9
135;202204;1.1
136;202205;5.4
137;202206;-5.9
138;202207;-2.4
139;202208;1.9
140;202209;0.2
141;202210;-0.4
142;202211;1.2
143;202212;3.9
144;202301;-4.2
145;202302;2.7
146;202303;3.4
147;202304;-0.2
148;202305;0.0
149;202306;-5.0
150;202307;6.0
151;202308;-3.3
152;202309;2.0
153;202310;-2.1
154;202311;-1.4
155;202312;1.0
156;202401;2.4
157;202402;-1.6
158;202403;-1.9
159;202404;2.3
160;202405;0.2
161;202406;1.6
162;202407;-0.2
