Data;Valor
202001;0.6
202002;0.2
202003;-9.0
202004;-11.0
202005;-1.1
202006;4.4
202007;2.6
202008;3.1
202009;3.0
202010;2.4
202011;1.5
202012;0.3
202101;1.6
202102;2.8
202103;-4.8
202104;2.6
202105;2.0
202106;2.5
202107;0.6
202108;0.5
202109;-0.6
202110;-0.6
202111;2.7
202112;2.3
202201;-1.1
202202;0.4
202203;0.6
202204;0.5
202205;0.6
202206;0.4
202207;1.1
202208;1.6
202209;0.8
202210;-0.2
202211;-0.4
202212;2.6
202301;-3.8
202302;1.3
202303;1.3
202304;-1.8
202305;1.7
202306;-0.1
202307;0.5
202308;-0.3
202309;-0.2
202310;-0.4
202311;1.0
202312;0.4
202401;0.5
202402;-0.4
202403;0.3
202404;0.2
202405;-0.4
202406;1.4
202407;0.2
