;Data;Transporte de Cargas
0;2011-02-01;-0.2
1;2011-03-01;-0.2
2;2011-04-01;0.7
3;2011-05-01;1.7
4;2011-06-01;-0.4
5;2011-07-01;0.1
6;2011-08-01;-2.2
7;2011-09-01;-0.1
8;2011-10-01;-0.2
9;2011-11-01;2.6
10;2011-12-01;2.4
11;2012-01-01;-1.4
12;2012-02-01;0.6
13;2012-03-01;1.0
14;2012-04-01;1.4
15;2012-05-01;0.7
16;2012-06-01;0.9
17;2012-07-01;-2.7
18;2012-08-01;7.1
19;2012-09-01;0.2
20;2012-10-01;1.8
21;2012-11-01;-0.3
22;2012-12-01;-3.0
23;2013-01-01;5.9
24;2013-02-01;0.2
25;2013-03-01;-0.6
26;2013-04-01;2.1
27;2013-05-01;-1.5
28;2013-06-01;1.5
29;2013-07-01;0.1
30;2013-08-01;2.2
31;2013-09-01;-0.4
32;2013-10-01;1.0
33;2013-11-01;-1.8
34;2013-12-01;-4.9
35;2014-01-01;2.1
36;2014-02-01;4.2
37;2014-03-01;1.6
38;2014-04-01;-2.1
39;2014-05-01;1.5
40;2014-06-01;-3.9
41;2014-07-01;2.5
42;2014-08-01;-1.6
43;2014-09-01;0.8
44;2014-10-01;0.8
45;2014-11-01;2.4
46;2014-12-01;-4.4
47;2015-01-01;-2.8
48;2015-02-01;-2.5
49;2015-03-01;1.2
50;2015-04-01;-2.5
51;2015-05-01;-1.7
52;2015-06-01;-1.0
53;2015-07-01;-0.3
54;2015-08-01;0.4
55;2015-09-01;0.6
56;2015-10-01;-0.6
57;2015-11-01;-1.5
58;2015-12-01;-0.5
59;2016-01-01;-1.0
60;2016-02-01;-3.1
61;2016-03-01;0.2
62;2016-04-01;-2.8
63;2016-05-01;-0.5
64;2016-06-01;-1.4
65;2016-07-01;-0.1
66;2016-08-01;-2.8
67;2016-09-01;-0.5
68;2016-10-01;-3.9
69;2016-11-01;0.6
70;2016-12-01;4.6
71;2017-01-01;7.8
72;2017-02-01;2.5
73;2017-03-01;-4.9
74;2017-04-01;7.2
75;2017-05-01;-1.6
76;2017-06-01;2.1
77;2017-07-01;-2.3
78;2017-08-01;0.3
79;2017-09-01;1.6
80;2017-10-01;0.2
81;2017-11-01;0.8
82;2017-12-01;-0.3
83;2018-01-01;-1.2
84;2018-02-01;1.1
85;2018-03-01;-0.3
86;2018-04-01;1.1
87;2018-05-01;-15.4
88;2018-06-01;28.6
89;2018-07-01;-5.2
90;2018-08-01;1.5
91;2018-09-01;-2.9
92;2018-10-01;-1.2
93;2018-11-01;1.1
94;2018-12-01;1.0
95;2019-01-01;-1.9
96;2019-02-01;-1.9
97;2019-03-01;-1.3
98;2019-04-01;0.1
99;2019-05-01;-1.5
100;2019-06-01;0.8
101;2019-07-01;0.8
102;2019-08-01;0.3
103;2019-09-01;0.8
104;2019-10-01;2.7
105;2019-11-01;-0.5
106;2019-12-01;-6.0
107;2020-01-01;4.6
108;2020-02-01;2.5
109;2020-03-01;-5.5
110;2020-04-01;-7.6
111;2020-05-01;3.8
112;2020-06-01;0.2
113;2020-07-01;3.1
114;2020-08-01;3.6
115;2020-09-01;3.9
116;2020-10-01;1.4
117;2020-11-01;0.2
118;2020-12-01;-0.8
119;2021-01-01;3.1
120;2021-02-01;4.4
121;2021-03-01;0.4
122;2021-04-01;1.6
123;2021-05-01;0.3
124;2021-06-01;-0.9
125;2021-07-01;0.2
126;2021-08-01;-2.3
127;2021-09-01;-0.3
128;2021-10-01;2.6
129;2021-11-01;1.4
130;2021-12-01;3.8
131;2022-01-01;1.4
132;2022-02-01;2.9
133;2022-03-01;0.7
134;2022-04-01;0.8
135;2022-05-01;1.4
136;2022-06-01;1.8
137;2022-07-01;1.6
138;2022-08-01;2.2
139;2022-09-01;-1.6
140;2022-10-01;-0.5
141;2022-11-01;0.7
142;2022-12-01;1.7
143;2023-01-01;-3.5
144;2023-02-01;3.8
145;2023-03-01;5.2
146;2023-04-01;-4.4
147;2023-05-01;4.5
148;2023-06-01;0.0
149;2023-07-01;2.4
150;2023-08-01;-2.7
151;2023-09-01;-0.2
152;2023-10-01;-2.7
153;2023-11-01;0.6
154;2023-12-01;-1.1
155;2024-01-01;0.7
156;2024-02-01;-1.6
157;2024-03-01;-0.1
158;2024-04-01;-0.1
159;2024-05-01;-0.5
160;2024-06-01;0.4
161;2024-07-01;-0.7
